G112 Rocket Motor,,,,,
Item,Description,Quantity,Unit Price ,Total Price ,Links
24 AWG Silicone Wire,"Used as the connectors 
between the 5V BEC and
ESP32 and MG996R 
servo",1,$0.12,$0.12,https://www.tokopedia.com/dielectronics/24-awg-high-quality-silicone-wire-cable-kabel-silikon-serabut-putih-biru
28 AWG Wire,"Used as the connector 
between the ESP32 and
GY-BMP-280",1,$0.12,$0.12,https://www.tokopedia.com/cncstorebandung/kabel-serabut-awg-28-awg28-high-quality-hitam
5V 3A BEC Converter,"A converter
between the 7.4v 2S
LiPo battery and 
components",1,$1.90,$1.90,https://www.tokopedia.com/alladinshop/bluesky-3a-5v-ubec-bec-vdc-dc-converter-step-down-module-mini-fpv
350 MaH 2S LiPo Battery,"Used as the main power
source for on board
avionics",1,$4.24,$4.24,https://www.tokopedia.com/justshopit/cnhl-lihv-ministar-hv-350mah-7-6v-2s-70c-lipo-battery-xt30
Battery charger,"Used to charge the 
battery",1,$2.15,$2.15,https://www.tokopedia.com/nayfastore/adaptor-charger-casan-mainan-anak-konektor-jst-xh-3-pin?extParam=ivf%3Dfalse%26keyword%3Dcharger+2s+lipo+%26search_id%3D20260314074611950A4152C2B4AA165OBI%26src%3Dsearch&t_id=1773472965470&t_st=4&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
XT30 Plug connector,"Allows the battery to plug
into the BEC converter",1,$0.53,$0.53,https://www.tokopedia.com/justshopit/amass-xt30-xt30u-plug-connector-female-male-lipo-battery-for-rc-fpv-drone-1729895395040659171
Heat shrink wire covers set,"Allow for cleaner and 
sturdier connections",1,$0.65,$0.65,https://www.tokopedia.com/skf88/heat-shrink-kabel-164-530pcs-isolasi-bakar-tube-selang-bakar-bahan-polyolefin-warna-warni-1732990049052886837
Wire stripper,Will be used to strip wires,1,$1.35,$1.35,https://www.tokopedia.com/neso-store/neso-german-tools-tang-kupas-potong-kabel-cod-6-7-9-inch-pemotong-wire-stripper-4in1-cutter-pliers-gunting-kupas-kabel-listrik-serbaguna-1731592431659091872
,,,Total Cost:,$22.38,
,,,,,
,,,,,
Rocket Body Construction,,,,,
Item,Description,Quantity,Unit Price,Total Price,Links
Sandpaper set,"Will be used to smooth out
the rocket body to ensure 
a streamlined shape",1,$1.12,$1.12,https://www.tokopedia.com/sinotoko/12-36pcs-amplas-basah-kering-grit-400-3000-sandpaper-tahan-air-duco-cocok-untuk-kayu-logam-otomotif-knalpot-bodi-motor-tembok-diy-finishing-1732386575107261856
Parachute,"Will be used as the 
recovery system",1,$1.72,$1.72,https://www.tokopedia.com/penny-y/2pcs-mainan-parasut-anak-mainan-anak-terjun-payung-terjun-payung-mainan-payung-terjun-merah-2pcs-6cad4
4mm Paracord,"Used as a shock cord 
connecting the nose to the
rocket body during recovery",1,$1.39,$1.39,https://www.tokopedia.com/makadam/tali-paracord-4mm-7-core-1-rol-panjang-31-50-100-meter-tali-tenda-camping-1733087381762376899
3mm Plywood,"Used to space the motor 
tube ",1,$1.48,$1.48,https://www.tokopedia.com/pawonkitchenset/multiplek-60x40-triplek-60x40-triplek-potongan-60x40-3mm-40cm-x-80cm-08061?extParam=ivf%3Dfalse%26keyword%3Dplywood%26search_id%3D2026031310245906EB61B839A0CE1DA8YK%26src%3Dsearch&t_id=1773397505917&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
,,,Total Cost:,$4.23,
,,,,,
,,,,,
Launchpad and Igniter,,,,,
Item,Description,Quantity,Unit Price,Total Price,Links
15 cm Stainless steel disk,"Used for redicrecting the hot 
exhaust gas during launch",$1.00,$1.48,$1.48,https://www.tokopedia.com/ajm175/plat-bulat-stainless-1-2-mm-uk-5-20-cm-1731311695462827268
153cm Stainless steel rod,"Used as the launch rod to
guide the rocket during 
takeoff",$1.00,$7.69,$7.69,https://www.tokopedia.com/rajawali3d/smooth-rod-stainless-steel-304-10mm-per-cm-linear-shaft-rail
ESP32 DevKit v1,Used for wireless ignition,$1.00,$5.08,$5.08,https://www.tokopedia.com/cncstorebandung/esp32-esp-32s-doit-cp2102-type-c-38-pin-board-wifi-bluetooth-iot-dual-core-proyek-elektronik-1731127910335219262
1 Channel 5v relay,"Used to initiate the 9v 
battery to heat nichrome",$1.00,$0.98,$0.98,https://www.tokopedia.com/cncstorebandung/relay-1-channel-relay-5v-with-optocoupler-high-quality-1733708580343678526
Nichrome wire,"Used as the heating element
to ignite rocket motor",$2.00,$0.18,$0.36,https://www.tokopedia.com/pcmelektronikpusat/kawat-nikelin-nikel-pemanas-0-2mm-meteran-nichrome-wire-0-2mm-mm-bulat
,,,Total Cost:,$15.59,
,,,,,
,,,,,
Total Overall Cost:,$272.00,,Avg. Shipping Cost:,$9.53,
,,,,,
"Note: All these costs are 
converted from Indonesian IDR
to USD as of March 15, 2026",,,,,
"Note: Shipping here in Indonesia is
mostly free and uniform which is why
I added the average delivery cost
except for the CNC",,,,,
